journal_entry_id,posting_date,description,source_system,created_by,status,created_at
JE-000001,2024-01-28,Product revenue - 2024-01,ERP,Revenue Module,Posted,2024-01-28 00:00:00
JE-000002,2024-01-28,Service revenue - 2024-01,ERP,Revenue Module,Posted,2024-01-28 00:00:00
JE-000003,2024-01-28,Subscription revenue - 2024-01,ERP,Revenue Module,Posted,2024-01-28 00:00:00
JE-000004,2024-01-28,COGS product - 2024-01,ERP,Cost Module,Posted,2024-01-28 00:00:00
JE-000005,2024-01-28,COGS services - 2024-01,ERP,Cost Module,Posted,2024-01-28 00:00:00
JE-000006,2024-01-28,COGS subscriptions - 2024-01,ERP,Cost Module,Posted,2024-01-28 00:00:00
JE-000007,2024-01-28,Payroll - CC100 - 2024-01,Payroll System,ADP Integration,Posted,2024-01-28 00:00:00
JE-000008,2024-01-28,Payroll - CC200 - 2024-01,Payroll System,ADP Integration,Posted,2024-01-28 00:00:00
JE-000009,2024-01-28,Payroll - CC300 - 2024-01,Payroll System,ADP Integration,Posted,2024-01-28 00:00:00
JE-000010,2024-01-28,Payroll - CC400 - 2024-01,Payroll System,ADP Integration,Posted,2024-01-28 00:00:00
JE-000011,2024-01-28,Payroll - CC500 - 2024-01,Payroll System,ADP Integration,Posted,2024-01-28 00:00:00
JE-000012,2024-01-28,Payroll - CC600 - 2024-01,Payroll System,ADP Integration,Posted,2024-01-28 00:00:00
JE-000013,2024-01-28,Payroll - CC700 - 2024-01,Payroll System,ADP Integration,Posted,2024-01-28 00:00:00
JE-000014,2024-01-28,Payroll - CC800 - 2024-01,Payroll System,ADP Integration,Posted,2024-01-28 00:00:00
JE-000015,2024-01-28,Payroll - CC900 - 2024-01,Payroll System,ADP Integration,Posted,2024-01-28 00:00:00
JE-000016,2024-01-28,Benefits - CC100 - 2024-01,Payroll System,ADP Integration,Posted,2024-01-28 00:00:00
JE-000017,2024-01-28,Benefits - CC200 - 2024-01,Payroll System,ADP Integration,Posted,2024-01-28 00:00:00
JE-000018,2024-01-28,Benefits - CC300 - 2024-01,Payroll System,ADP Integration,Posted,2024-01-28 00:00:00
JE-000019,2024-01-28,Benefits - CC400 - 2024-01,Payroll System,ADP Integration,Posted,2024-01-28 00:00:00
JE-000020,2024-01-28,Benefits - CC500 - 2024-01,Payroll System,ADP Integration,Posted,2024-01-28 00:00:00
JE-000021,2024-01-28,Benefits - CC600 - 2024-01,Payroll System,ADP Integration,Posted,2024-01-28 00:00:00
JE-000022,2024-01-28,Benefits - CC700 - 2024-01,Payroll System,ADP Integration,Posted,2024-01-28 00:00:00
JE-000023,2024-01-28,Benefits - CC800 - 2024-01,Payroll System,ADP Integration,Posted,2024-01-28 00:00:00
JE-000024,2024-01-28,Benefits - CC900 - 2024-01,Payroll System,ADP Integration,Posted,2024-01-28 00:00:00
JE-000025,2024-01-28,Rent and facilities - 2024-01,AP System,Accounts Payable,Posted,2024-01-28 00:00:00
JE-000026,2024-01-28,Depreciation - 2024-01,Fixed Assets,Depreciation Module,Posted,2024-01-28 00:00:00
JE-000027,2024-01-28,Marketing spend - 2024-01,AP System,Accounts Payable,Posted,2024-01-28 00:00:00
JE-000028,2024-01-28,Travel and entertainment - 2024-01,Concur,Expense System,Posted,2024-01-28 00:00:00
JE-000029,2024-01-28,Software subscriptions - 2024-01,AP System,Accounts Payable,Posted,2024-01-28 00:00:00
JE-000030,2024-01-28,Utilities - 2024-01,AP System,Accounts Payable,Posted,2024-01-28 00:00:00
JE-000031,2024-01-28,Interest expense - 2024-01,Treasury,Debt Module,Posted,2024-01-28 00:00:00
JE-000032,2024-01-23,Cash collections - 2024-01,ERP,Collections Module,Posted,2024-01-23 00:00:00
JE-000033,2024-01-18,AP payments - 2024-01,AP System,Payment Run,Posted,2024-01-18 00:00:00
JE-000034,2024-02-28,Product revenue - 2024-02,ERP,Revenue Module,Posted,2024-02-28 00:00:00
JE-000035,2024-02-28,Service revenue - 2024-02,ERP,Revenue Module,Posted,2024-02-28 00:00:00
JE-000036,2024-02-28,Subscription revenue - 2024-02,ERP,Revenue Module,Posted,2024-02-28 00:00:00
JE-000037,2024-02-28,COGS product - 2024-02,ERP,Cost Module,Posted,2024-02-28 00:00:00
JE-000038,2024-02-28,COGS services - 2024-02,ERP,Cost Module,Posted,2024-02-28 00:00:00
JE-000039,2024-02-28,COGS subscriptions - 2024-02,ERP,Cost Module,Posted,2024-02-28 00:00:00
JE-000040,2024-02-28,Payroll - CC100 - 2024-02,Payroll System,ADP Integration,Posted,2024-02-28 00:00:00
JE-000041,2024-02-28,Payroll - CC200 - 2024-02,Payroll System,ADP Integration,Posted,2024-02-28 00:00:00
JE-000042,2024-02-28,Payroll - CC300 - 2024-02,Payroll System,ADP Integration,Posted,2024-02-28 00:00:00
JE-000043,2024-02-28,Payroll - CC400 - 2024-02,Payroll System,ADP Integration,Posted,2024-02-28 00:00:00
JE-000044,2024-02-28,Payroll - CC500 - 2024-02,Payroll System,ADP Integration,Posted,2024-02-28 00:00:00
JE-000045,2024-02-28,Payroll - CC600 - 2024-02,Payroll System,ADP Integration,Posted,2024-02-28 00:00:00
JE-000046,2024-02-28,Payroll - CC700 - 2024-02,Payroll System,ADP Integration,Posted,2024-02-28 00:00:00
JE-000047,2024-02-28,Payroll - CC800 - 2024-02,Payroll System,ADP Integration,Posted,2024-02-28 00:00:00
JE-000048,2024-02-28,Payroll - CC900 - 2024-02,Payroll System,ADP Integration,Posted,2024-02-28 00:00:00
JE-000049,2024-02-28,Benefits - CC100 - 2024-02,Payroll System,ADP Integration,Posted,2024-02-28 00:00:00
JE-000050,2024-02-28,Benefits - CC200 - 2024-02,Payroll System,ADP Integration,Posted,2024-02-28 00:00:00
JE-000051,2024-02-28,Benefits - CC300 - 2024-02,Payroll System,ADP Integration,Posted,2024-02-28 00:00:00
JE-000052,2024-02-28,Benefits - CC400 - 2024-02,Payroll System,ADP Integration,Posted,2024-02-28 00:00:00
JE-000053,2024-02-28,Benefits - CC500 - 2024-02,Payroll System,ADP Integration,Posted,2024-02-28 00:00:00
JE-000054,2024-02-28,Benefits - CC600 - 2024-02,Payroll System,ADP Integration,Posted,2024-02-28 00:00:00
JE-000055,2024-02-28,Benefits - CC700 - 2024-02,Payroll System,ADP Integration,Posted,2024-02-28 00:00:00
JE-000056,2024-02-28,Benefits - CC800 - 2024-02,Payroll System,ADP Integration,Posted,2024-02-28 00:00:00
JE-000057,2024-02-28,Benefits - CC900 - 2024-02,Payroll System,ADP Integration,Posted,2024-02-28 00:00:00
JE-000058,2024-02-28,Rent and facilities - 2024-02,AP System,Accounts Payable,Posted,2024-02-28 00:00:00
JE-000059,2024-02-28,Depreciation - 2024-02,Fixed Assets,Depreciation Module,Posted,2024-02-28 00:00:00
JE-000060,2024-02-28,Professional services - 2024-02,AP System,Accounts Payable,Posted,2024-02-28 00:00:00
JE-000061,2024-02-28,Marketing spend - 2024-02,AP System,Accounts Payable,Posted,2024-02-28 00:00:00
JE-000062,2024-02-28,Travel and entertainment - 2024-02,Concur,Expense System,Posted,2024-02-28 00:00:00
JE-000063,2024-02-28,Software subscriptions - 2024-02,AP System,Accounts Payable,Posted,2024-02-28 00:00:00
JE-000064,2024-02-28,Utilities - 2024-02,AP System,Accounts Payable,Posted,2024-02-28 00:00:00
JE-000065,2024-02-28,Interest expense - 2024-02,Treasury,Debt Module,Posted,2024-02-28 00:00:00
JE-000066,2024-02-23,Cash collections - 2024-02,ERP,Collections Module,Posted,2024-02-23 00:00:00
JE-000067,2024-02-18,AP payments - 2024-02,AP System,Payment Run,Posted,2024-02-18 00:00:00
JE-000068,2024-03-28,Product revenue - 2024-03,ERP,Revenue Module,Posted,2024-03-28 00:00:00
JE-000069,2024-03-28,Service revenue - 2024-03,ERP,Revenue Module,Posted,2024-03-28 00:00:00
JE-000070,2024-03-28,Subscription revenue - 2024-03,ERP,Revenue Module,Posted,2024-03-28 00:00:00
JE-000071,2024-03-28,COGS product - 2024-03,ERP,Cost Module,Posted,2024-03-28 00:00:00
JE-000072,2024-03-28,COGS services - 2024-03,ERP,Cost Module,Posted,2024-03-28 00:00:00
JE-000073,2024-03-28,COGS subscriptions - 2024-03,ERP,Cost Module,Posted,2024-03-28 00:00:00
JE-000074,2024-03-28,Payroll - CC100 - 2024-03,Payroll System,ADP Integration,Posted,2024-03-28 00:00:00
JE-000075,2024-03-28,Payroll - CC200 - 2024-03,Payroll System,ADP Integration,Posted,2024-03-28 00:00:00
JE-000076,2024-03-28,Payroll - CC300 - 2024-03,Payroll System,ADP Integration,Posted,2024-03-28 00:00:00
JE-000077,2024-03-28,Payroll - CC400 - 2024-03,Payroll System,ADP Integration,Posted,2024-03-28 00:00:00
JE-000078,2024-03-28,Payroll - CC500 - 2024-03,Payroll System,ADP Integration,Posted,2024-03-28 00:00:00
JE-000079,2024-03-28,Payroll - CC600 - 2024-03,Payroll System,ADP Integration,Posted,2024-03-28 00:00:00
JE-000080,2024-03-28,Payroll - CC700 - 2024-03,Payroll System,ADP Integration,Posted,2024-03-28 00:00:00
JE-000081,2024-03-28,Payroll - CC800 - 2024-03,Payroll System,ADP Integration,Posted,2024-03-28 00:00:00
JE-000082,2024-03-28,Payroll - CC900 - 2024-03,Payroll System,ADP Integration,Posted,2024-03-28 00:00:00
JE-000083,2024-03-28,Benefits - CC100 - 2024-03,Payroll System,ADP Integration,Posted,2024-03-28 00:00:00
JE-000084,2024-03-28,Benefits - CC200 - 2024-03,Payroll System,ADP Integration,Posted,2024-03-28 00:00:00
JE-000085,2024-03-28,Benefits - CC300 - 2024-03,Payroll System,ADP Integration,Posted,2024-03-28 00:00:00
