journal_entry_id,line_number,account_id,cost_center_id,debit_amount,credit_amount,line_description
JE-000001,1,1020,CC200,353938.08,0,Product revenue - 2024-01
JE-000001,2,4010,CC200,0,353938.08,Product revenue - 2024-01
JE-000002,1,1020,CC200,150795.48,0,Service revenue - 2024-01
JE-000002,2,4020,CC200,0,150795.48,Service revenue - 2024-01
JE-000003,1,1020,CC200,80276.91,0,Subscription revenue - 2024-01
JE-000003,2,4030,CC200,0,80276.91,Subscription revenue - 2024-01
JE-000004,1,5010,CC600,212912.51,0,COGS product - 2024-01
JE-000004,2,1030,CC600,0,212912.51,COGS product - 2024-01
JE-000005,1,5020,CC600,59921.44,0,COGS services - 2024-01
JE-000005,2,2020,CC600,0,59921.44,COGS services - 2024-01
JE-000006,1,5030,CC900,21785.1,0,COGS subscriptions - 2024-01
JE-000006,2,2020,CC900,0,21785.1,COGS subscriptions - 2024-01
JE-000007,1,6010,CC100,188509.92,0,Payroll - CC100 - 2024-01
JE-000007,2,1010,CC100,0,188509.92,Payroll - CC100 - 2024-01
JE-000008,1,6010,CC200,127156.72,0,Payroll - CC200 - 2024-01
JE-000008,2,1010,CC200,0,127156.72,Payroll - CC200 - 2024-01
JE-000009,1,6010,CC300,66631.63,0,Payroll - CC300 - 2024-01
JE-000009,2,1010,CC300,0,66631.63,Payroll - CC300 - 2024-01
JE-000010,1,6010,CC400,46380.35,0,Payroll - CC400 - 2024-01
JE-000010,2,1010,CC400,0,46380.35,Payroll - CC400 - 2024-01
JE-000011,1,6010,CC500,35196.12,0,Payroll - CC500 - 2024-01
JE-000011,2,1010,CC500,0,35196.12,Payroll - CC500 - 2024-01
JE-000012,1,6010,CC600,54304.62,0,Payroll - CC600 - 2024-01
JE-000012,2,1010,CC600,0,54304.62,Payroll - CC600 - 2024-01
JE-000013,1,6010,CC700,49980.49,0,Payroll - CC700 - 2024-01
JE-000013,2,1010,CC700,0,49980.49,Payroll - CC700 - 2024-01
JE-000014,1,6010,CC800,75915.5,0,Payroll - CC800 - 2024-01
JE-000014,2,1010,CC800,0,75915.5,Payroll - CC800 - 2024-01
JE-000015,1,6010,CC900,151872.86,0,Payroll - CC900 - 2024-01
JE-000015,2,1010,CC900,0,151872.86,Payroll - CC900 - 2024-01
JE-000016,1,6020,CC100,52263.82,0,Benefits - CC100 - 2024-01
JE-000016,2,2020,CC100,0,52263.82,Benefits - CC100 - 2024-01
JE-000017,1,6020,CC200,33190.71,0,Benefits - CC200 - 2024-01
JE-000017,2,2020,CC200,0,33190.71,Benefits - CC200 - 2024-01
JE-000018,1,6020,CC300,18621.09,0,Benefits - CC300 - 2024-01
JE-000018,2,2020,CC300,0,18621.09,Benefits - CC300 - 2024-01
JE-000019,1,6020,CC400,13472.17,0,Benefits - CC400 - 2024-01
JE-000019,2,2020,CC400,0,13472.17,Benefits - CC400 - 2024-01
JE-000020,1,6020,CC500,8810.47,0,Benefits - CC500 - 2024-01
JE-000020,2,2020,CC500,0,8810.47,Benefits - CC500 - 2024-01
JE-000021,1,6020,CC600,15764.14,0,Benefits - CC600 - 2024-01
JE-000021,2,2020,CC600,0,15764.14,Benefits - CC600 - 2024-01
JE-000022,1,6020,CC700,14239.79,0,Benefits - CC700 - 2024-01
JE-000022,2,2020,CC700,0,14239.79,Benefits - CC700 - 2024-01
JE-000023,1,6020,CC800,20270.39,0,Benefits - CC800 - 2024-01
JE-000023,2,2020,CC800,0,20270.39,Benefits - CC800 - 2024-01
JE-000024,1,6020,CC900,39148.87,0,Benefits - CC900 - 2024-01
JE-000024,2,2020,CC900,0,39148.87,Benefits - CC900 - 2024-01
JE-000025,1,6030,CC600,42873.4,0,Rent and facilities - 2024-01
JE-000025,2,1010,CC600,0,42873.4,Rent and facilities - 2024-01
JE-000026,1,6040,CC999,17879.69,0,Depreciation - 2024-01
JE-000026,2,1120,CC999,0,17879.69,Depreciation - 2024-01
JE-000027,1,6060,CC300,62989.99,0,Marketing spend - 2024-01
JE-000027,2,2010,CC300,0,62989.99,Marketing spend - 2024-01
JE-000028,1,6070,CC800,16429.26,0,Travel and entertainment - 2024-01
JE-000028,2,1010,CC800,0,16429.26,Travel and entertainment - 2024-01
JE-000029,1,6080,CC100,27918.53,0,Software subscriptions - 2024-01
JE-000029,2,2010,CC100,0,27918.53,Software subscriptions - 2024-01
JE-000030,1,6100,CC600,8796.83,0,Utilities - 2024-01
JE-000030,2,2010,CC600,0,8796.83,Utilities - 2024-01
JE-000031,1,7010,CC400,6100.06,0,Interest expense - 2024-01
JE-000031,2,1010,CC400,0,6100.06,Interest expense - 2024-01
JE-000032,1,1010,CC400,532754.67,0,Cash collections - 2024-01
JE-000032,2,1020,CC400,0,532754.67,Cash collections - 2024-01
JE-000033,1,2010,CC400,242849.87,0,AP payments - 2024-01
JE-000033,2,1010,CC400,0,242849.87,AP payments - 2024-01
JE-000034,1,1020,CC200,359767.37,0,Product revenue - 2024-02
JE-000034,2,4010,CC200,0,359767.37,Product revenue - 2024-02
JE-000035,1,1020,CC200,148190.77,0,Service revenue - 2024-02
JE-000035,2,4020,CC200,0,148190.77,Service revenue - 2024-02
JE-000036,1,1020,CC200,86513.24,0,Subscription revenue - 2024-02
JE-000036,2,4030,CC200,0,86513.24,Subscription revenue - 2024-02
JE-000037,1,5010,CC600,220171.02,0,COGS product - 2024-02
JE-000037,2,1030,CC600,0,220171.02,COGS product - 2024-02
JE-000038,1,5020,CC600,55618.14,0,COGS services - 2024-02
JE-000038,2,2020,CC600,0,55618.14,COGS services - 2024-02
JE-000039,1,5030,CC900,18633.49,0,COGS subscriptions - 2024-02
JE-000039,2,2020,CC900,0,18633.49,COGS subscriptions - 2024-02
JE-000040,1,6010,CC100,191665.61,0,Payroll - CC100 - 2024-02
JE-000040,2,1010,CC100,0,191665.61,Payroll - CC100 - 2024-02
JE-000041,1,6010,CC200,124982.2,0,Payroll - CC200 - 2024-02
JE-000041,2,1010,CC200,0,124982.2,Payroll - CC200 - 2024-02
JE-000042,1,6010,CC300,66258.02,0,Payroll - CC300 - 2024-02
JE-000042,2,1010,CC300,0,66258.02,Payroll - CC300 - 2024-02
JE-000043,1,6010,CC400,39254.28,0,Payroll - CC400 - 2024-02
JE-000043,2,1010,CC400,0,39254.28,Payroll - CC400 - 2024-02
JE-000044,1,6010,CC500,36849.68,0,Payroll - CC500 - 2024-02
JE-000044,2,1010,CC500,0,36849.68,Payroll - CC500 - 2024-02
JE-000045,1,6010,CC600,50250.43,0,Payroll - CC600 - 2024-02
JE-000045,2,1010,CC600,0,50250.43,Payroll - CC600 - 2024-02
JE-000046,1,6010,CC700,47995.41,0,Payroll - CC700 - 2024-02
JE-000046,2,1010,CC700,0,47995.41,Payroll - CC700 - 2024-02
JE-000047,1,6010,CC800,76503.56,0,Payroll - CC800 - 2024-02
JE-000047,2,1010,CC800,0,76503.56,Payroll - CC800 - 2024-02
JE-000048,1,6010,CC900,146502.2,0,Payroll - CC900 - 2024-02
JE-000048,2,1010,CC900,0,146502.2,Payroll - CC900 - 2024-02
JE-000049,1,6020,CC100,51321.06,0,Benefits - CC100 - 2024-02
JE-000049,2,2020,CC100,0,51321.06,Benefits - CC100 - 2024-02
JE-000050,1,6020,CC200,35433.55,0,Benefits - CC200 - 2024-02
JE-000050,2,2020,CC200,0,35433.55,Benefits - CC200 - 2024-02
JE-000051,1,6020,CC300,18889.57,0,Benefits - CC300 - 2024-02
JE-000051,2,2020,CC300,0,18889.57,Benefits - CC300 - 2024-02
JE-000052,1,6020,CC400,11155.18,0,Benefits - CC400 - 2024-02
JE-000052,2,2020,CC400,0,11155.18,Benefits - CC400 - 2024-02
JE-000053,1,6020,CC500,9343.98,0,Benefits - CC500 - 2024-02
JE-000053,2,2020,CC500,0,9343.98,Benefits - CC500 - 2024-02
JE-000054,1,6020,CC600,14158.01,0,Benefits - CC600 - 2024-02
JE-000054,2,2020,CC600,0,14158.01,Benefits - CC600 - 2024-02
JE-000055,1,6020,CC700,13280.67,0,Benefits - CC700 - 2024-02
JE-000055,2,2020,CC700,0,13280.67,Benefits - CC700 - 2024-02
JE-000056,1,6020,CC800,20062.33,0,Benefits - CC800 - 2024-02
JE-000056,2,2020,CC800,0,20062.33,Benefits - CC800 - 2024-02
